OMGHAI!
-------- day 0 --------
name, sellIn, quality
Ring of Cleansening Code, 10, 20
Good Wine, 2, 0
Elixir of the SOLID, 5, 7
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 15, 20
Backstage passes for Re:factor, 10, 49
Backstage passes for HAXX, 5, 49
Duplicate Code, 3, 6
Long Methods, 3, 6
Ugly Variable Names, 3, 6

-------- day 1 --------
name, sellIn, quality
Ring of Cleansening Code, 9, 19
Good Wine, 1, 1
Elixir of the SOLID, 4, 6
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 14, 21
Backstage passes for Re:factor, 9, 50
Backstage passes for HAXX, 4, 50
Duplicate Code, 2, 4
Long Methods, 2, 4
Ugly Variable Names, 2, 4

-------- day 2 --------
name, sellIn, quality
Ring of Cleansening Code, 8, 18
Good Wine, 0, 2
Elixir of the SOLID, 3, 5
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 13, 22
Backstage passes for Re:factor, 8, 50
Backstage passes for HAXX, 3, 50
Duplicate Code, 1, 2
Long Methods, 1, 2
Ugly Variable Names, 1, 2

-------- day 3 --------
name, sellIn, quality
Ring of Cleansening Code, 7, 17
Good Wine, -1, 4
Elixir of the SOLID, 2, 4
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 12, 23
Backstage passes for Re:factor, 7, 50
Backstage passes for HAXX, 2, 50
Duplicate Code, 0, 0
Long Methods, 0, 0
Ugly Variable Names, 0, 0

-------- day 4 --------
name, sellIn, quality
Ring of Cleansening Code, 6, 16
Good Wine, -2, 6
Elixir of the SOLID, 1, 3
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 11, 24
Backstage passes for Re:factor, 6, 50
Backstage passes for HAXX, 1, 50
Duplicate Code, -1, 0
Long Methods, -1, 0
Ugly Variable Names, -1, 0

-------- day 5 --------
name, sellIn, quality
Ring of Cleansening Code, 5, 15
Good Wine, -3, 8
Elixir of the SOLID, 0, 2
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 10, 25
Backstage passes for Re:factor, 5, 50
Backstage passes for HAXX, 0, 50
Duplicate Code, -2, 0
Long Methods, -2, 0
Ugly Variable Names, -2, 0

-------- day 6 --------
name, sellIn, quality
Ring of Cleansening Code, 4, 14
Good Wine, -4, 10
Elixir of the SOLID, -1, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 9, 27
Backstage passes for Re:factor, 4, 50
Backstage passes for HAXX, -1, 0
Duplicate Code, -3, 0
Long Methods, -3, 0
Ugly Variable Names, -3, 0

-------- day 7 --------
name, sellIn, quality
Ring of Cleansening Code, 3, 13
Good Wine, -5, 12
Elixir of the SOLID, -2, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 8, 29
Backstage passes for Re:factor, 3, 50
Backstage passes for HAXX, -2, 0
Duplicate Code, -4, 0
Long Methods, -4, 0
Ugly Variable Names, -4, 0

-------- day 8 --------
name, sellIn, quality
Ring of Cleansening Code, 2, 12
Good Wine, -6, 14
Elixir of the SOLID, -3, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 7, 31
Backstage passes for Re:factor, 2, 50
Backstage passes for HAXX, -3, 0
Duplicate Code, -5, 0
Long Methods, -5, 0
Ugly Variable Names, -5, 0

-------- day 9 --------
name, sellIn, quality
Ring of Cleansening Code, 1, 11
Good Wine, -7, 16
Elixir of the SOLID, -4, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 6, 33
Backstage passes for Re:factor, 1, 50
Backstage passes for HAXX, -4, 0
Duplicate Code, -6, 0
Long Methods, -6, 0
Ugly Variable Names, -6, 0

-------- day 10 --------
name, sellIn, quality
Ring of Cleansening Code, 0, 10
Good Wine, -8, 18
Elixir of the SOLID, -5, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 5, 35
